Role,Skills
DevOps,"Python Cloud Automation Linux Docker Kubernetes CI/CD"
Cloud Engineer,"Cloud AWS Networking Linux Terraform"
Data Scientist,"Python Machine Learning Statistics SQL Pandas"
Frontend Developer,"HTML CSS JavaScript React UI"
Backend Developer,"Python Django APIs SQL Database"
Full Stack Developer,"HTML CSS JavaScript React Python Django SQL"
System Administrator,"Linux Networking Security Automation"
AI Engineer,"Python Machine Learning Deep Learning TensorFlow"
Cyber Security Analyst,"Security Networking Linux Ethical Hacking"
Cloud Architect,"Cloud AWS Automation Infrastructure Terraform"